Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
ifl_esIID   ,"(81.34, 1.25)","(81.89, 1.13)","(85.2, 0.56)","(85.23, 0.52)","(53.45, 1.17)","(51.7, 1.25)","(56.01, 0.78)","(75.46, 0.52)","(56.01, 0.77)"
ifl_esText  ,"(77.99, 1.43)","(78.15, 1.39)","(81.59, 0.93)","(81.56, 0.93)","(52.27, 1.19)","(50.26, 1.31)","(59.03, 0.29)","(73.95, 0.67)","(59.03, 0.29)"
ifl_esAudio ,"(81.12, 1.01)","(81.11, 1.02)","(83.93, 0.56)","(84.06, 0.56)","(52.59, 0.49)","(50.0, 0.6)","(58.69, 0.29)","(77.48, 0.61)","(58.7, 0.28)"
ifl_esVision,"(81.08, 0.78)","(81.07, 0.79)","(83.27, 0.41)","(83.41, 0.41)","(52.69, 0.53)","(50.37, 0.52)","(58.06, 0.38)","(77.09, 0.76)","(58.13, 0.38)"
ifl_esTAV   ,"(77.86, 0.74)","(77.86, 0.75)","(81.46, 0.48)","(81.62, 0.46)","(52.86, 0.93)","(50.38, 1.08)","(59.51, 0.99)","(74.98, 0.99)","(59.5, 1.03)"
ifl_esIID   ,"(80.22, 1.65)","(80.89, 1.51)","(84.85, 0.79)","(84.91, 0.75)","(54.05, 0.89)","(52.03, 0.65)","(56.07, 0.78)","(75.77, 0.66)","(56.09, 0.75)"
ifl_esText  ,"(76.91, 1.99)","(77.12, 1.94)","(81.28, 1.08)","(81.27, 1.07)","(52.57, 0.79)","(50.39, 0.56)","(58.95, 0.33)","(74.05, 0.25)","(58.95, 0.32)"
ifl_esAudio ,"(80.45, 1.28)","(80.43, 1.29)","(83.81, 0.62)","(83.92, 0.63)","(53.17, 0.92)","(50.34, 0.51)","(58.38, 0.53)","(77.61, 0.64)","(58.41, 0.52)"
ifl_esVision,"(80.51, 0.96)","(80.5, 0.97)","(83.42, 0.3)","(83.54, 0.31)","(53.19, 1.1)","(50.59, 0.75)","(57.64, 0.68)","(77.38, 0.92)","(57.72, 0.67)"
ifl_esTAV   ,"(77.14, 1.18)","(77.12, 1.2)","(81.57, 0.44)","(81.71, 0.45)","(53.51, 1.13)","(50.76, 0.85)","(59.06, 1.25)","(75.16, 1.11)","(59.06, 1.28)"
ifl_esIID   ,"(81.84, 0.77)","(82.29, 0.68)","(85.19, 0.33)","(85.16, 0.34)","(55.0, 0.45)","(53.22, 0.48)","(54.68, 0.88)","(76.51, 0.29)","(54.7, 0.88)"
